Iteration,E,nu,RMSE
160,0.00038425,0.451,4.72E-08
161,0.00038425,0.46075,4.71E-08
162,0.00038425,0.4705,4.71E-08
163,0.00038425,0.48025,4.70E-08
164,0.00038425,0.49,4.70E-08
165,0.000509,0.1,4.65E-08
166,0.000509,0.10975,4.64E-08
167,0.000509,0.1195,4.64E-08
168,0.000509,0.12925,4.63E-08
169,0.000509,0.139,4.63E-08
170,0.000509,0.14875,4.62E-08
171,0.000509,0.1585,4.62E-08
172,0.000509,0.16825,4.61E-08
173,0.000509,0.178,4.61E-08
174,0.000509,0.18775,4.60E-08
175,0.000509,0.1975,4.60E-08
176,0.000509,0.20725,4.59E-08
177,0.000509,0.217,4.59E-08
178,0.000509,0.22675,4.58E-08
179,0.000509,0.2365,4.57E-08
180,0.000509,0.24625,4.57E-08
181,0.000509,0.256,4.56E-08
182,0.000509,0.26575,4.55E-08
183,0.000509,0.2755,4.55E-08
184,0.000509,0.28525,4.54E-08
185,0.000509,0.295,4.53E-08
186,0.000509,0.30475,4.53E-08
187,0.000509,0.3145,4.52E-08
188,0.000509,0.32425,4.51E-08
189,0.000509,0.334,4.51E-08
190,0.000509,0.34375,4.50E-08
191,0.000509,0.3535,4.49E-08
192,0.000509,0.36325,4.49E-08
193,0.000509,0.373,4.48E-08
194,0.000509,0.38275,4.47E-08
195,0.000509,0.3925,4.47E-08
196,0.000509,0.40225,4.46E-08
197,0.000509,0.412,4.45E-08
198,0.000509,0.42175,4.44E-08
199,0.000509,0.4315,4.44E-08
200,0.000509,0.44125,4.43E-08
201,0.000509,0.451,4.42E-08
202,0.000509,0.46075,4.42E-08
203,0.000509,0.4705,4.41E-08
204,0.000509,0.48025,4.40E-08
205,0.000509,0.49,4.40E-08
206,0.00063375,0.1,4.41E-08
207,0.00063375,0.10975,4.40E-08
208,0.00063375,0.1195,4.40E-08
209,0.00063375,0.12925,4.39E-08
210,0.00063375,0.139,4.39E-08
211,0.00063375,0.14875,4.38E-08
212,0.00063375,0.1585,4.37E-08
213,0.00063375,0.16825,4.37E-08
214,0.00063375,0.178,4.36E-08
215,0.00063375,0.18775,4.35E-08
216,0.00063375,0.1975,4.35E-08
217,0.00063375,0.20725,4.34E-08
218,0.00063375,0.217,4.33E-08
